Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
316	0.272152	371	0.072776	31	0.483871	282	0.276596	11.993559	165	0.266667	1.569431	151	0.278146	43.215229	282	0.276596	0.206000	0.242020	
351	0.259259	350	0.065714	28	0.607143	271	0.346863	11.993559	182	0.236264	1.569431	169	0.284024	43.215229	271	0.346863	0.225000	0.241895	
328	0.320122	367	0.043597	27	0.555556	278	0.392086	11.993559	167	0.305389	1.569431	161	0.335404	43.215229	278	0.392086	0.245000	0.241918	
369	0.241192	323	0.068111	23	0.652174	285	0.287719	11.993559	177	0.282486	1.569431	192	0.203125	43.215229	285	0.287719	0.208000	0.241672	
377	0.299735	319	0.081505	25	0.560000	279	0.293907	11.993559	194	0.335052	1.569431	183	0.262295	43.215229	279	0.293907	0.235000	0.241624	
358	0.318436	347	0.051873	33	0.333333	262	0.335878	11.993559	184	0.326087	1.569431	174	0.310345	43.215229	262	0.335878	0.231000	0.241548	
336	0.306548	324	0.049383	30	0.333333	310	0.341935	11.993559	173	0.364162	1.569431	163	0.245399	43.215229	310	0.341935	0.235000	0.241502	
341	0.225806	330	0.103030	33	0.727273	296	0.317568	11.993559	168	0.244048	1.569431	173	0.208092	43.215229	296	0.317568	0.229000	0.241414	
338	0.301775	342	0.081871	22	0.636364	298	0.308725	11.993559	167	0.311377	1.569431	171	0.292398	43.215229	298	0.308725	0.236000	0.241376	
335	0.283582	364	0.041209	24	0.625000	277	0.267148	11.993559	167	0.239521	1.569431	168	0.327381	43.215229	277	0.267148	0.199000	0.241082	
350	0.260000	321	0.046729	28	0.535714	301	0.352159	11.993559	181	0.254144	1.569431	169	0.266272	43.215229	301	0.352159	0.227000	0.240985	
356	0.272472	324	0.046296	26	0.423077	294	0.329932	11.993559	182	0.307692	1.569431	174	0.235632	43.215229	294	0.329932	0.220000	0.240841	
344	0.250000	366	0.076503	34	0.588235	256	0.363281	11.993559	179	0.223464	1.569431	165	0.278788	43.215229	256	0.363281	0.227000	0.240747	
346	0.297688	343	0.084548	32	0.562500	279	0.297491	11.993559	159	0.289308	1.569431	187	0.304813	43.215229	279	0.297491	0.233000	0.240694	
313	0.345048	358	0.025140	28	0.428571	301	0.282392	11.993559	150	0.333333	1.569431	163	0.355828	43.215229	301	0.282392	0.214000	0.240515	
342	0.336257	401	0.059850	24	0.416667	233	0.296137	11.993559	164	0.323171	1.569431	178	0.348315	43.215229	233	0.296137	0.218000	0.240365	
302	0.314570	402	0.059701	36	0.444444	260	0.300000	11.993559	145	0.296552	1.569431	157	0.331210	43.215229	260	0.300000	0.213000	0.240184	
336	0.297619	350	0.062857	26	0.500000	288	0.319444	11.993559	183	0.322404	1.569431	153	0.267974	43.215229	288	0.319444	0.227000	0.240097	
