Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
315	0.244444	341	0.082111	25	0.520000	319	0.300940	12.640548	154	0.227273	1.492449	161	0.260870	42.495927	319	0.300940	0.214000	0.237961	
377	0.326260	295	0.088136	48	0.500000	280	0.260714	12.640548	198	0.308081	1.492449	179	0.346369	42.495927	280	0.260714	0.246000	0.238011	
359	0.281337	372	0.080645	24	0.458333	245	0.297959	12.640548	169	0.272189	1.492449	190	0.289474	42.495927	245	0.297959	0.215000	0.237869	
380	0.289474	336	0.047619	27	0.555556	257	0.256809	12.640548	179	0.245810	1.492449	201	0.328358	42.495927	257	0.256809	0.207000	0.237680	
336	0.264881	325	0.046154	36	0.194444	303	0.366337	12.640548	169	0.266272	1.492449	167	0.263473	42.495927	303	0.366337	0.222000	0.237584	
330	0.287879	350	0.071429	45	0.600000	275	0.265455	12.640548	161	0.236025	1.492449	169	0.337278	42.495927	275	0.265455	0.220000	0.237477	
331	0.320242	352	0.048295	25	0.680000	292	0.297945	12.640548	167	0.305389	1.492449	164	0.335366	42.495927	292	0.297945	0.227000	0.237414	
335	0.265672	361	0.030471	34	0.558824	270	0.281481	12.640548	172	0.308140	1.492449	163	0.220859	42.495927	270	0.281481	0.195000	0.237160	
334	0.296407	359	0.044568	31	0.483871	276	0.257246	12.640548	169	0.242604	1.492449	165	0.351515	42.495927	276	0.257246	0.201000	0.236945	
355	0.270423	349	0.063037	33	0.424242	263	0.247148	12.640548	181	0.292818	1.492449	174	0.247126	42.495927	263	0.247148	0.197000	0.236709	
347	0.262248	356	0.087079	44	0.613636	253	0.312253	12.640548	175	0.222857	1.492449	172	0.302326	42.495927	253	0.312253	0.228000	0.236657	
329	0.297872	336	0.059524	38	0.552632	297	0.303030	12.640548	161	0.316770	1.492449	168	0.279762	42.495927	297	0.303030	0.229000	0.236613	
341	0.278592	344	0.066860	43	0.511628	272	0.338235	12.640548	174	0.229885	1.492449	167	0.329341	42.495927	272	0.338235	0.232000	0.236586	
